Registro 163 ,Potencia Media: 263 , Tiempo Total 6789 
Registro 164 ,Potencia Media: 266 , Tiempo Total 6794 
Registro 165 ,Potencia Media: 268 , Tiempo Total 6730 
Registro 166 ,Potencia Media: 271 , Tiempo Total 6731 
Registro 167 ,Potencia Media: 273 , Tiempo Total 6731 
Registro 168 ,Potencia Media: 276 , Tiempo Total 6731 
Registro 169 ,Potencia Media: 265 , Tiempo Total 6789 
Registro 170 ,Potencia Media: 267 , Tiempo Total 6794 
Registro 171 ,Potencia Media: 269 , Tiempo Total 6730 
Registro 172 ,Potencia Media: 272 , Tiempo Total 6731 
Registro 173 ,Potencia Media: 274 , Tiempo Total 6731 
Registro 174 ,Potencia Media: 277 , Tiempo Total 6731 
Registro 175 ,Potencia Media: 266 , Tiempo Total 6789 
Registro 176 ,Potencia Media: 268 , Tiempo Total 6794 
Registro 177 ,Potencia Media: 271 , Tiempo Total 6730 
Registro 178 ,Potencia Media: 273 , Tiempo Total 6731 
Registro 179 ,Potencia Media: 275 , Tiempo Total 6731 
Registro 180 ,Potencia Media: 278 , Tiempo Total 6731 
Registro 181 ,Potencia Media: 263 , Tiempo Total 6816 
Registro 182 ,Potencia Media: 265 , Tiempo Total 6821 
Registro 183 ,Potencia Media: 268 , Tiempo Total 6757 
Registro 184 ,Potencia Media: 270 , Tiempo Total 6757 
Registro 185 ,Potencia Media: 272 , Tiempo Total 6757 
Registro 186 ,Potencia Media: 275 , Tiempo Total 6757 
Registro 187 ,Potencia Media: 264 , Tiempo Total 6818 
Registro 188 ,Potencia Media: 266 , Tiempo Total 6823 
Registro 189 ,Potencia Media: 269 , Tiempo Total 6760 
Registro 190 ,Potencia Media: 271 , Tiempo Total 6760 
Registro 191 ,Potencia Media: 274 , Tiempo Total 6760 
Registro 192 ,Potencia Media: 276 , Tiempo Total 6760 
Registro 193 ,Potencia Media: 265 , Tiempo Total 6789 
Registro 194 ,Potencia Media: 267 , Tiempo Total 6794 
Registro 195 ,Potencia Media: 270 , Tiempo Total 6730 
Registro 196 ,Potencia Media: 272 , Tiempo Total 6730 
Registro 197 ,Potencia Media: 275 , Tiempo Total 6730 
Registro 198 ,Potencia Media: 277 , Tiempo Total 6730 
Registro 199 ,Potencia Media: 266 , Tiempo Total 6789 
Registro 200 ,Potencia Media: 269 , Tiempo Total 6794 
Registro 201 ,Potencia Media: 271 , Tiempo Total 6730 
Registro 202 ,Potencia Media: 273 , Tiempo Total 6731 
Registro 203 ,Potencia Media: 276 , Tiempo Total 6731 
Registro 204 ,Potencia Media: 278 , Tiempo Total 6731 
Registro 205 ,Potencia Media: 267 , Tiempo Total 6789 
Registro 206 ,Potencia Media: 270 , Tiempo Total 6794 
Registro 207 ,Potencia Media: 272 , Tiempo Total 6730 
Registro 208 ,Potencia Media: 275 , Tiempo Total 6731 
Registro 209 ,Potencia Media: 277 , Tiempo Total 6731 
Registro 210 ,Potencia Media: 279 , Tiempo Total 6731 
Registro 211 ,Potencia Media: 268 , Tiempo Total 6789 
Registro 212 ,Potencia Media: 271 , Tiempo Total 6794 
Registro 213 ,Potencia Media: 273 , Tiempo Total 6730 
Registro 214 ,Potencia Media: 276 , Tiempo Total 6731 
Registro 215 ,Potencia Media: 278 , Tiempo Total 6731 
Registro 216 ,Potencia Media: 280 , Tiempo Total 6731 
Registro 217 ,Potencia Media: 252 , Tiempo Total 6882 
Registro 218 ,Potencia Media: 254 , Tiempo Total 6888 
Registro 219 ,Potencia Media: 257 , Tiempo Total 6824 
Registro 220 ,Potencia Media: 259 , Tiempo Total 6824 
Registro 221 ,Potencia Media: 261 , Tiempo Total 6824 
Registro 222 ,Potencia Media: 264 , Tiempo Total 6824 
Registro 223 ,Potencia Media: 253 , Tiempo Total 6885 
Registro 224 ,Potencia Media: 255 , Tiempo Total 6890 
Registro 225 ,Potencia Media: 258 , Tiempo Total 6826 
Registro 226 ,Potencia Media: 260 , Tiempo Total 6826 
Registro 227 ,Potencia Media: 262 , Tiempo Total 6826 
Registro 228 ,Potencia Media: 265 , Tiempo Total 6826 
Registro 229 ,Potencia Media: 254 , Tiempo Total 6855 
Registro 230 ,Potencia Media: 256 , Tiempo Total 6861 
Registro 231 ,Potencia Media: 259 , Tiempo Total 6797 
Registro 232 ,Potencia Media: 261 , Tiempo Total 6797 
Registro 233 ,Potencia Media: 264 , Tiempo Total 6797 
Registro 234 ,Potencia Media: 266 , Tiempo Total 6797 
Registro 235 ,Potencia Media: 255 , Tiempo Total 6855 
Registro 236 ,Potencia Media: 258 , Tiempo Total 6861 
Registro 237 ,Potencia Media: 260 , Tiempo Total 6797 
Registro 238 ,Potencia Media: 262 , Tiempo Total 6797 
Registro 239 ,Potencia Media: 265 , Tiempo Total 6797 
Registro 240 ,Potencia Media: 267 , Tiempo Total 6797 
Registro 241 ,Potencia Media: 256 , Tiempo Total 6855 
Registro 242 ,Potencia Media: 259 , Tiempo Total 6861 
Registro 243 ,Potencia Media: 261 , Tiempo Total 6797 
Registro 244 ,Potencia Media: 263 , Tiempo Total 6797 
Registro 245 ,Potencia Media: 266 , Tiempo Total 6797 
Registro 246 ,Potencia Media: 268 , Tiempo Total 6797 
Registro 247 ,Potencia Media: 257 , Tiempo Total 6855 
Registro 248 ,Potencia Media: 260 , Tiempo Total 6861 
Registro 249 ,Potencia Media: 262 , Tiempo Total 6797 
Registro 250 ,Potencia Media: 264 , Tiempo Total 6797 
Registro 251 ,Potencia Media: 267 , Tiempo Total 6797 
Registro 252 ,Potencia Media: 269 , Tiempo Total 6797 
Registro 253 ,Potencia Media: 255 , Tiempo Total 6888 
Registro 254 ,Potencia Media: 257 , Tiempo Total 6894 
Registro 255 ,Potencia Media: 259 , Tiempo Total 6830 
Registro 256 ,Potencia Media: 262 , Tiempo Total 6830 
Registro 257 ,Potencia Media: 264 , Tiempo Total 6830 
Registro 258 ,Potencia Media: 266 , Tiempo Total 6830 
Registro 259 ,Potencia Media: 256 , Tiempo Total 6891 
Registro 260 ,Potencia Media: 258 , Tiempo Total 6896 
Registro 261 ,Potencia Media: 260 , Tiempo Total 6832 
Registro 262 ,Potencia Media: 263 , Tiempo Total 6833 
Registro 263 ,Potencia Media: 265 , Tiempo Total 6833 
Registro 264 ,Potencia Media: 268 , Tiempo Total 6833 
Registro 265 ,Potencia Media: 257 , Tiempo Total 6862 
Registro 266 ,Potencia Media: 259 , Tiempo Total 6867 
Registro 267 ,Potencia Media: 262 , Tiempo Total 6803 
Registro 268 ,Potencia Media: 264 , Tiempo Total 6803 
Registro 269 ,Potencia Media: 266 , Tiempo Total 6803 
Registro 270 ,Potencia Media: 269 , Tiempo Total 6803 
Registro 271 ,Potencia Media: 258 , Tiempo Total 6862 
Registro 272 ,Potencia Media: 260 , Tiempo Total 6867 
Registro 273 ,Potencia Media: 263 , Tiempo Total 6803 
Registro 274 ,Potencia Media: 265 , Tiempo Total 6803 
Registro 275 ,Potencia Media: 267 , Tiempo Total 6803 
Registro 276 ,Potencia Media: 270 , Tiempo Total 6803 
Registro 277 ,Potencia Media: 259 , Tiempo Total 6862 
Registro 278 ,Potencia Media: 261 , Tiempo Total 6867 
Registro 279 ,Potencia Media: 264 , Tiempo Total 6803 
Registro 280 ,Potencia Media: 266 , Tiempo Total 6803 
Registro 281 ,Potencia Media: 268 , Tiempo Total 6803 
Registro 282 ,Potencia Media: 271 , Tiempo Total 6803 
Registro 283 ,Potencia Media: 260 , Tiempo Total 6862 
Registro 284 ,Potencia Media: 262 , Tiempo Total 6867 
Registro 285 ,Potencia Media: 265 , Tiempo Total 6803 
Registro 286 ,Potencia Media: 267 , Tiempo Total 6803 
Registro 287 ,Potencia Media: 270 , Tiempo Total 6803 
Registro 288 ,Potencia Media: 272 , Tiempo Total 6803 
Registro 289 ,Potencia Media: 257 , Tiempo Total 6817 
Registro 290 ,Potencia Media: 260 , Tiempo Total 6822 
Registro 291 ,Potencia Media: 262 , Tiempo Total 6758 
Registro 292 ,Potencia Media: 264 , Tiempo Total 6759 
Registro 293 ,Potencia Media: 267 , Tiempo Total 6759 
Registro 294 ,Potencia Media: 269 , Tiempo Total 6759 
Registro 295 ,Potencia Media: 258 , Tiempo Total 6819 
Registro 296 ,Potencia Media: 261 , Tiempo Total 6825 
Registro 297 ,Potencia Media: 263 , Tiempo Total 6761 
Registro 298 ,Potencia Media: 266 , Tiempo Total 6761 
Registro 299 ,Potencia Media: 268 , Tiempo Total 6761 
Registro 300 ,Potencia Media: 270 , Tiempo Total 6761 
Registro 301 ,Potencia Media: 259 , Tiempo Total 6790 
Registro 302 ,Potencia Media: 262 , Tiempo Total 6795 
Registro 303 ,Potencia Media: 264 , Tiempo Total 6732 
Registro 304 ,Potencia Media: 267 , Tiempo Total 6732 
Registro 305 ,Potencia Media: 269 , Tiempo Total 6732 
Registro 306 ,Potencia Media: 271 , Tiempo Total 6732 
Registro 307 ,Potencia Media: 260 , Tiempo Total 6790 
Registro 308 ,Potencia Media: 263 , Tiempo Total 6795 
Registro 309 ,Potencia Media: 265 , Tiempo Total 6732 
Registro 310 ,Potencia Media: 268 , Tiempo Total 6732 
Registro 311 ,Potencia Media: 270 , Tiempo Total 6732 
Registro 312 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 313 ,Potencia Media: 262 , Tiempo Total 6790 
Registro 314 ,Potencia Media: 264 , Tiempo Total 6795 
Registro 315 ,Potencia Media: 266 , Tiempo Total 6732 
Registro 316 ,Potencia Media: 269 , Tiempo Total 6732 
Registro 317 ,Potencia Media: 271 , Tiempo Total 6732 
Registro 318 ,Potencia Media: 274 , Tiempo Total 6732 
Registro 319 ,Potencia Media: 263 , Tiempo Total 6790 
Registro 320 ,Potencia Media: 265 , Tiempo Total 6795 
Registro 321 ,Potencia Media: 268 , Tiempo Total 6732 
Registro 322 ,Potencia Media: 270 , Tiempo Total 6732 
Registro 323 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 324 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 325 ,Potencia Media: 260 , Tiempo Total 6817 
Registro 326 ,Potencia Media: 262 , Tiempo Total 6822 
Registro 327 ,Potencia Media: 265 , Tiempo Total 6759 
Registro 328 ,Potencia Media: 267 , Tiempo Total 6759 
Registro 329 ,Potencia Media: 269 , Tiempo Total 6759 
Registro 330 ,Potencia Media: 272 , Tiempo Total 6759 
Registro 331 ,Potencia Media: 261 , Tiempo Total 6820 
Registro 332 ,Potencia Media: 263 , Tiempo Total 6825 
Registro 333 ,Potencia Media: 266 , Tiempo Total 6761 
Registro 334 ,Potencia Media: 268 , Tiempo Total 6761 
Registro 335 ,Potencia Media: 271 , Tiempo Total 6761 
Registro 336 ,Potencia Media: 273 , Tiempo Total 6761 
Registro 337 ,Potencia Media: 262 , Tiempo Total 6790 
Registro 338 ,Potencia Media: 265 , Tiempo Total 6796 
Registro 339 ,Potencia Media: 267 , Tiempo Total 6732 
Registro 340 ,Potencia Media: 269 , Tiempo Total 6732 
Registro 341 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 342 ,Potencia Media: 274 , Tiempo Total 6732 
