,pwr,spd,porc,viento_aparente,k-means,gaussian
68,214.320569066766,8.699999809265138,0.0,8.106855375174199,4,3
69,208.6,8.699999809265138,0.0,8.197580067449017,4,3
70,172.764716955087,8.60000038146973,0.0,8.286011533656135,3,3
71,173.34782770007095,8.60000038146973,0.0,8.441986155364397,3,3
72,204.919239617387,8.60000038146973,-0.8815736033253874,8.711383810612304,4,4
73,219.4801024,8.60000038146973,-4.3632111498236945,8.682890939506299,4,2
74,246.76470588235298,8.60000038146973,0.0,8.56646789006151,4,3
75,220.0,8.60000038146973,5.3572866060316535,8.706980009552725,4,4
76,237.198147162446,8.5,0.0,8.657751511875782,4,3
77,232.304344599859,8.39999961853027,0.0,8.706581176124951,4,3
78,245.308837647059,8.37941046169505,0.0,8.627174999260424,4,3
79,242.0,8.10000038146973,0.0,8.57610047688553,4,3
80,265.77953882352904,7.98970542158239,0.5749805481611757,8.764700278278019,0,4
81,276.573327058824,7.889705516949822,5.2797591002588256,8.82939156830315,0,4
82,254.7300224,7.800000190734861,0.0,8.425278057165313,0,3
83,222.0700416,7.76099972196045,0.0,8.614043919994637,4,3
84,201.8,7.739999961853028,-2.153779270550469,8.269872466084639,4,4
85,173.088376470588,7.800000190734861,2.1432820138871875,8.41903529857273,3,4
86,222.950016,7.900000095367429,0.0,8.05580170108436,4,3
87,236.522715151515,7.900000095367429,0.0,7.828736408420665,4,3
88,222.926512941176,7.900000095367429,0.0,7.240924262285103,4,3
89,234.615428796482,7.900000095367429,0.0,6.767615281032975,4,3
90,228.3199616,7.900000095367429,6.16222717422827,6.574433428485563,4,4
91,228.3900032,7.900000095367429,0.0,5.536390481410818,4,3
92,231.202908767113,7.900000095367429,0.0,4.714055531131871,4,3
93,231.4399872,7.900000095367429,0.0,4.266709880295403,4,3
94,203.6,7.900000095367429,0.0,3.144631207668912,4,3
95,202.94204726746602,7.900000095367429,0.0,2.2801032830342987,4,3
96,245.750055384615,7.900000095367429,0.0,2.0091878004378905,4,3
97,194.0,7.9115943409793,6.124818728080674,0.1957744170236958,4,4
98,212.76811486661998,8.0,0.0,-0.6813769605108878,4,3
99,209.6,8.0,0.0,-1.5946948413235749,4,3
