,target,Y_pred,dist_log,porc,viento_aparente,pwr,spd,dist,prueba
19,0,0,9.12598002335811,3.207282538011377,5.941844580591718,239.1621927249502,20.44969097651422,9191.0,20180406_LEVS_195_90_R_E.gpx
84,1,0,6.016961727108158,-1.029021790149003,21.10146710313327,79.3987480793856,24.61980032256019,410.3300053760031,20180415_LEVS_195_90_R_E.gpx
65,0,0,5.756265279651655,0.5454060938350256,23.03164817287215,180.3749696822951,29.95250514749979,316.1653321124977,20180415_LEVS_195_90_R_E.gpx
54,0,0,5.655991810819852,-0.4176822975033736,8.636977748368617,112.4138371645047,34.32,286.0,20180422_LEVS_195_90_R_E.gpx
5,0,0,7.147653689441478,1.566720145088133,8.076852881656638,217.0737447598807,26.91783553264644,1271.12001126386,20180406_LEVS_195_90_R_E.gpx
9,0,0,3.490020913742205,0.2346998995295671,-7.966799200593401,245.6234010859313,39.3439600683123,32.78663339026025,20180415_LEVS_195_90_R_E.gpx
15,0,0,6.555356891810665,2.748246277907367,-0.7650534190750016,201.8601050198477,18.07714285714286,703.0,20180406_LEVS_195_90_R_E.gpx
10,1,0,6.9985096422506015,-2.440001133357963,3.616604361784696,50.30865741202978,29.6390977443609,1095.0,20180406_LEVS_195_90_R_E.gpx
82,1,0,6.267915984567724,-1.976720580193494,22.2419116406103,34.94774445597452,39.55328772676476,527.3771696901968,20180415_LEVS_195_90_R_E.gpx
37,1,0,4.605293053138623,0.3175271552633955,-8.368337017659927,55.42734536565504,16.36564704052924,100.0122874699009,20180406_LEVS_195_90_R_E.gpx
16,0,0,6.643789733147672,-1.301929894925088,8.441622681669067,102.6816041281018,31.77931034482759,768.0,20180406_LEVS_195_90_R_E.gpx
11,0,0,8.470242034107704,4.210450035293675,4.464205068425484,269.4176477330059,20.06356539795187,4770.669994624111,20180415_LEVS_195_90_R_E.gpx
58,0,1,7.034873042596894,-3.837102977199062,-0.9573820020241117,141.9715429573776,42.14415104414355,1135.550736467201,20180422_LEVS_195_90_R_E.gpx
68,0,0,6.633097351377918,-3.011428351631623,-8.49183100729838,84.1671040467582,39.64340850397054,759.831996326102,20180406_LEVS_195_90_R_E.gpx
0,1,1,5.814608791232416,-2.89897968096449,18.04830815444006,57.34019246740423,24.62401875087118,335.160255220191,20180415_LEVS_195_90_R_E.gpx
34,1,0,6.145093093603712,-0.8437171519583012,-5.35344681787933,67.82839941196124,34.267817244218,466.4230680463006,20180415_LEVS_195_90_R_E.gpx
22,0,0,5.9933875535835135,-0.9708495266484006,-17.62083010164855,167.4357701138127,36.06929483897707,400.7699426553008,20180415_LEVS_195_90_R_E.gpx
26,0,0,5.609178931564676,-0.1927582801566693,-19.30971753996017,255.7420160506492,35.08972199202882,272.9200599380019,20180415_LEVS_195_90_R_E.gpx
121,0,0,2.2059825565865485,0.02826293758782347,-6.959538500924934,210.642876734873,32.68500473879976,9.079167982999934,20180415_LEVS_195_90_R_E.gpx
7,0,0,6.014792702092064,1.463991527515775,-6.032804544250584,207.0965467748488,28.34591219069054,409.44095386553,20180415_LEVS_195_90_R_E.gpx
18,0,0,5.583496308781699,-0.1707701913945889,8.494772502083276,149.5574512158791,33.02068965517242,266.0,20180406_LEVS_195_90_R_E.gpx
41,0,0,2.9246110659550157,0.03682857583051144,-5.871115914526712,138.510048128616,33.52856395356066,18.62697997420037,20180415_LEVS_195_90_R_E.gpx
7,0,0,6.306275286948016,0.9284884428594385,-0.07203345948201248,240.7966835944142,27.78591549295775,548.0,20180422_LEVS_195_90_R_E.gpx
52,1,1,7.382369532541224,-5.3247206802141,1.648637175470295,32.99196080761142,44.51245009901432,1607.394031353295,20180415_LEVS_195_90_R_E.gpx
45,0,0,7.772643239140022,2.734520020551302,-14.48580125649026,217.4869572660375,20.95358828449676,2374.740005576299,20180415_LEVS_195_90_R_E.gpx
60,0,0,7.039432504100015,-2.184472475746754,4.257074360113119,153.3177856110927,46.14229446471911,1140.7400576,20180422_LEVS_195_90_R_E.gpx
