,timeoffset,hr,spd,pwr,cad,dist,lat,lon,alt,temp,prueba,dist_c,ele_gain,porc,spd_c,bearing,wind,mult,viento_aparente,spd_prev,ele_prev,timeoffset_prev,new_ele,time_seg,tramo,tramos_100,altura,peso,tpo_bici,tpo_entreno
23,27901,,10.6297716659298,0.0,72.0,319.977145481371,40.519514,-3.933279,650.0,22.5,20180406_LEVS_195_90_R_E,13.944077940505162,0.0,0.0,13.944077940505162,268.40284742167466,1.5971525783253355,0.9996115014243696,9.996115014243696,inf,650.0,27900,650.0307829262711,36,0,3,195,90,R,E
24,27902,,10.6999998092651,0.0,0.0,327.0,40.519508,-3.933403,649.884059584099,22.5,20180406_LEVS_195_90_R_E,13.728039549926715,-0.11594041590103643,-0.84455187850661,13.728039549926715,268.05299414890953,1.9470058510904664,0.9994226788600321,9.99422678860032,13.944077940505162,650.0,27901,649.2859482480063,37,0,3,195,90,R,E
25,27904,,10.6999998092651,0.0,0.0,345.0,40.519503,-3.933615,648.0,22.5,20180406_LEVS_195_90_R_E,23.449429840089678,-1.8840595840989636,-8.034564579808812,11.724714920044839,269.0509128896355,0.9490871103644736,0.9998628085774024,9.998628085774024,13.728039549926715,649.884059584099,27902,648.4640356448664,39,0,3,195,90,R,E
26,27906,,9.64400380758057,0.0,0.0,362.0,40.519496,-3.933815,648.0,22.5,20180406_LEVS_195_90_R_E,22.129559513333156,0.0,0.0,11.064779756666578,268.5919949577418,1.4080050422581962,0.9996980664983116,9.996980664983116,11.724714920044839,648.0,27904,647.6253141025926,41,0,3,195,90,R,E
27,27908,,9.26100100196533,0.0,0.0,379.0,40.519488,-3.934013,647.0,22.5,20180406_LEVS_195_90_R_E,21.91276034982643,-1.0,-4.563551027052239,10.956380174913216,268.37503229327433,1.6249677067256698,0.9995978527546819,9.99597852754682,11.064779756666578,648.0,27906,646.7322671887855,43,0,3,195,90,R,E
28,27910,,9.18714331466249,0.0,0.0,396.0,40.519484,-3.934213,646.871434318315,22.5,20180406_LEVS_195_90_R_E,22.1203615986881,-0.1285656816850178,-0.5812096746765781,11.06018079934405,269.19564123655186,0.8043587634481355,0.9999014589461951,9.99901458946195,10.956380174913216,647.0,27908,645.8605749519838,45,0,3,195,90,R,E
29,27912,,8.96100081123047,0.0,0.0,414.0,40.519478,-3.934425,644.6100096,22.4610008112305,20180406_LEVS_195_90_R_E,23.452322964893437,-2.26142471831497,-9.642647006440138,11.726161482446718,268.86207622500206,1.1379237749979438,0.9998027864245093,9.998027864245092,11.06018079934405,646.871434318315,27910,645.0552302040984,47,0,3,195,90,R,E
30,27914,,8.76000003814697,0.0,0.0,431.0,40.51948,-3.934635,644.0,22.3999996185303,20180406_LEVS_195_90_R_E,23.22275803038361,-0.6100096000000121,-2.6267749903000457,11.611379015191805,270.38288344125203,0.38288344125203366,0.9999776716674091,9.999776716674091,11.726161482446718,644.6100096,27912,644.2960552832345,49,0,4,195,90,R,E
31,27916,,8.81159416598337,0.0,0.0,451.0,40.519476,-3.934861,643.884059584099,22.3999996185303,20180406_LEVS_195_90_R_E,24.994915908465188,-0.11594041590103643,-0.4638559950576595,12.497457954232594,269.28863601689113,0.7113639831088676,0.9999229268860037,9.999229268860038,11.611379015191805,644.0,27914,643.670538580191,51,0,4,195,90,R,E
32,27918,,8.93899880729981,0.0,0.0,474.2898944,40.519469,-3.935096,641.6100096,22.3999996185303,20180406_LEVS_195_90_R_E,25.99780946294041,-2.2740499840989514,-8.747083046902796,12.998904731470205,268.8031880535109,1.196811946489106,0.9997818472059324,9.997818472059324,12.497457954232594,643.884059584099,27916,643.0660787309382,53,0,4,195,90,R,E
33,27920,,9.0,0.0,0.0,484.607981076432,40.519463,-3.935221,641.0,22.3999996185303,20180406_LEVS_195_90_R_E,13.83849028182594,-0.6100096000000121,-4.408064662957754,6.91924514091297,268.07211553340017,1.927884466599835,0.9994339617594757,9.994339617594758,12.998904731470205,641.6100096,27918,642.4364763093665,55,0,4,195,90,R,E
34,27920,,9.02014289844681,0.0,0.0,493.107860471113,40.519456,-3.935348,641.0,22.3999996185303,20180406_LEVS_195_90_R_E,14.06509787557458,0.0,0.0,inf,267.78677352364514,2.213226476354862,0.9992540281301852,9.992540281301851,6.91924514091297,641.0,27920,641.7955630014302,55,0,4,195,90,R,E
35,27922,,9.16834431520792,0.0,0.0,501.258946166455,40.519455,-3.935479,641.0,22.3999996185303,20180406_LEVS_195_90_R_E,14.486341009418995,0.0,0.0,7.243170504709497,269.69337016455574,0.30662983544425515,0.9999856796865919,9.999856796865918,inf,641.0,27920,641.1169336613707,57,0,4,195,90,R,E
36,27922,,9.60800006866455,0.0,0.0,517.32,40.519448,-3.935601,640.64,22.3999996185303,20180406_LEVS_195_90_R_E,13.513080159013098,-0.36000000000001364,-2.6640854325125645,inf,267.6967554793217,2.303244520678277,0.9991921209465681,9.99192120946568,7.243170504709497,641.0,27922,640.4423135722586,57,0,5,195,90,R,E
37,27923,,9.91700122512207,0.0,0.0,529.6800384,40.519434,-3.935743,639.6099968,22.3999996185303,20180406_LEVS_195_90_R_E,15.779078808766437,-1.03000320000001,-6.527651027560416,15.779078808766437,266.04703601585294,3.952963984147061,0.9976209795236975,9.976209795236976,inf,640.64,27922,639.7119367317209,58,0,5,195,90,R,E
38,27925,,10.1409998268677,0.0,0.0,541.9199616,40.519422,-3.935885,638.5900032,22.3999996185303,20180406_LEVS_195_90_R_E,15.758742759270064,-1.0199936000000207,-6.472556951918075,7.879371379635032,266.610807573984,3.3891924260159954,0.9982509969926173,9.982509969926173,15.779078808766437,639.6099968,27923,638.9348817210597,60,0,5,195,90,R,E
39,27925,,10.2297713776479,0.0,0.0,552.572574577646,40.519413,-3.936019,638.0,22.3702280501475,20180406_LEVS_195_90_R_E,14.851326696380042,-0.5900031999999555,-3.972730598834424,inf,267.305560304737,2.694439695262986,0.9988944417332178,9.988944417332178,7.879371379635032,638.5900032,27925,638.1863349316712,60,0,5,195,90,R,E
40,27926,,10.3761895241102,0.0,0.0,562.142839728157,40.519405,-3.936161,638.0,22.2999992370605,20180406_LEVS_195_90_R_E,15.727405228923994,0.0,0.0,15.727405228923994,267.7397079519713,2.2602920480287025,0.999221967874101,9.99221967874101,inf,638.0,27925,637.4847036958192,61,0,5,195,90,R,E
41,27927,,11.1847063672976,0.0,0.0,576.388248049875,40.519395,-3.936305,638.0,22.2999992370605,20180406_LEVS_195_90_R_E,15.962130466378195,0.0,0.0,15.962130466378195,267.2150343037324,2.784965696267591,0.9988189210428284,9.988189210428285,15.727405228923994,638.0,27926,636.7617967547811,62,0,5,195,90,R,E
42,27928,,11.4779979960693,0.0,0.0,590.0698752,40.519388,-3.936448,638.0,22.2999992370605,20180406_LEVS_195_90_R_E,15.831967749902216,0.0,0.0,15.831967749902216,268.03639901027066,1.9636009897293434,0.9994127963906488,9.994127963906488,15.962130466378195,638.0,27927,636.060713009706,63,0,5,195,90,R,E
43,27929,,11.6400001525879,0.0,0.0,603.2,40.519385,-3.9366,637.6,22.2999992370605,20180406_LEVS_195_90_R_E,16.81138714281294,-0.39999999999997726,-2.3793396499763664,16.81138714281294,269.2081478662527,0.7918521337472839,0.9999044994199342,9.999044994199341,15.831967749902216,638.0,27928,635.3775297388619,64,0,5,195,90,R,E
44,27930,,11.6999998092651,0.0,0.0,613.977018682092,40.519374,-3.936746,636.404596263582,22.2999992370605,20180406_LEVS_195_90_R_E,16.190761616510095,-1.1954037364180294,-7.383245857928317,16.190761616510095,266.9802792590208,3.01972074097921,0.9986114619919122,9.986114619919121,16.81138714281294,637.6,27929,634.7631999862956,65,0,6,195,90,R,E
45,27931,,11.688405618939,0.0,0.0,621.0,40.519366,-3.936875,634.88405743331,22.2999992370605,20180406_LEVS_195_90_R_E,14.292398133324522,-1.5205388302720166,-10.638794246339174,14.292398133324522,267.5140072590631,2.485992740936922,0.9990588554800416,9.990588554800416,16.190761616510095,636.404596263582,27930,634.1117729726535,66,0,6,195,90,R,E
46,27933,,11.6000003814697,0.0,0.0,640.0,40.519365,-3.937096,632.6099968,22.2999992370605,20180406_LEVS_195_90_R_E,24.43832411667432,-2.2740606333100004,-9.305305152894686,12.21916205833716,269.81854007202287,0.18145992797713006,0.9999949848278534,9.999949848278535,14.292398133324522,634.88405743331,27931,633.4962614541329,68,0,6,195,90,R,E
