,tramo,tramo_inicial,tramo_final,pwr,time_seg,dist,spd,viento_aparente,porc,dist_acum,prueba,puntos_en_tramo,S,Z,T,CdA
8,8,347,420,48.39962812001977,85,894.1023413211296,37.86786386771843,-7.449304152542504,-2.655849040250382,5547.48004505542,20180415_LEVS_195_90_R_E.gpx,73,-0.02654912879372725,-131.39673949157765,23.62695343445156,-0.2996897478313001
10,10,423,577,83.73742549263011,182,2100.33000537593,41.5449891173261,-2.513443049900278,-2.203548292072909,7678.50736467184,20180415_LEVS_195_90_R_E.gpx,154,-0.022030135066017583,-34.44364385085393,22.292009529105115,-1.0786706939618436
11,11,577,942,269.3164865348493,856,4770.669994624111,20.06356539795187,4.465824445956954,4.210450035293675,12447.7939595873,20180415_LEVS_195_90_R_E.gpx,365,0.04206722870521126,62.46326055581888,6.767726599464684,0.1805788591897381
12,12,942,979,95.56195949808846,47,465.4300181746985,35.64995883891307,-1.123838791820719,-2.202256155180089,12912.600081919,20180415_LEVS_195_90_R_E.gpx,37,-0.02201722309706805,-2.35523848408166,24.674532959602104,-17.460746279955487
13,13,979,1042,246.7543458761406,119,752.3000076809003,22.75865569454824,-1.486806035678283,3.050741786215558,13662.6564973615,20180415_LEVS_195_90_R_E.gpx,63,0.03049323109841374,-5.9844579240499005,7.695017303300773,-2.1430560631555844
15,15,1058,1266,181.6285151974124,582,2650.610652414001,16.3955298087464,-8.856089481168958,2.225124291033696,16578.0499846398,20180415_LEVS_195_90_R_E.gpx,208,0.022245736461666717,-65.50647174660942,15.825283690891286,-0.4026391914401546
17,17,1289,1338,268.8771031236957,105,654.0482119635017,22.42451012446292,-20.07863013460983,2.698331378401192,17579.049919361,20180415_LEVS_195_90_R_E.gpx,49,0.026973495880096003,-206.5753812609195,14.935760656976086,-0.12050290928352163
18,18,1338,1498,32.42202359255686,203,2232.8785403029,39.59784603492827,-20.43046306418994,-3.708417131282641,19817.0399354888,20180415_LEVS_195_90_R_E.gpx,160,-0.03705869784453982,-395.23985104671897,31.25224134707833,-0.13178597445033524
21,21,1536,1590,215.6390898019251,108,806.9000563206973,26.89666854402325,-20.97630400167252,1.445689524402347,21170.7574958303,20180415_LEVS_195_90_R_E.gpx,54,0.014455384722086248,-264.5467645213242,11.685178259853988,-0.07361759700594188
22,22,1590,1616,167.2192672849835,40,400.7699426553008,36.06929483897707,-18.21751487617698,-0.9708495266484006,21581.3699408648,20180415_LEVS_195_90_R_E.gpx,26,-0.009708037762295445,-319.40526381728705,20.846527794094584,-0.108777834701036
24,24,1639,1699,193.6991504601478,62,698.400482813202,40.55228609883108,-18.35806369458259,-1.306916924161506,22602.8000409595,20180415_LEVS_195_90_R_E.gpx,60,-0.013068053256709655,-365.05613316741204,24.31878683534536,-0.11102761386467354
25,25,1699,1723,270.7147523274057,45,433.1839231033991,34.65471384827193,-20.0882384021578,0.4606134820140909,23030.7298978573,20180415_LEVS_195_90_R_E.gpx,24,0.004606085957939425,-336.3614385569109,19.641168922334288,-0.09732174317504337
